"산업별","산업별 지수","제조업"
"","가동률지수(원지수)","101.7"
"","가동률지수(계절조정)","105.6"
"2021.09","생산능력지수","102"
"","가동률지수(원지수)","103.3"
"","가동률지수(계절조정)","105.2"
"2021.10","생산능력지수","101.9"
"","가동률지수(원지수)","106.3"
"","가동률지수(계절조정)","105.7"
"2021.11","생산능력지수","101.9"
"","가동률지수(원지수)","111.1"
"","가동률지수(계절조정)","107.2"
"2021.12","생산능력지수","102.2"
"","가동률지수(원지수)","117.2"
"","가동률지수(계절조정)","111.7"
"2022.01","생산능력지수","102.3"
"","가동률지수(원지수)","106"
"","가동률지수(계절조정)","112.5"
"2022.02","생산능력지수","102.3"
"","가동률지수(원지수)","98.3"
"","가동률지수(계절조정)","109.2"
"2022.03","생산능력지수","102.5"
"","가동률지수(원지수)","112.8"
"","가동률지수(계절조정)","110.1"
"2022.04","생산능력지수","102.2"
"","가동률지수(원지수)","108"
"","가동률지수(계절조정)","107.4"
"2022.05","생산능력지수","102.5"
"","가동률지수(원지수)","109.1"
"","가동률지수(계절조정)","105.1"
"2022.06","생산능력지수","102.7"
"","가동률지수(원지수)","108.7"
"","가동률지수(계절조정)","107.1"
"2022.07","생산능력지수","102.4"
"","가동률지수(원지수)","105.8"
"","가동률지수(계절조정)","106.1"
"2022.08","생산능력지수","101.9"
"","가동률지수(원지수)","99.9"
"","가동률지수(계절조정)","102.4"
"2022.09","생산능력지수","102.1"
"","가동률지수(원지수)","100"
"","가동률지수(계절조정)","102.2"
"2022.10","생산능력지수","101.6"
"","가동률지수(원지수)","101.7"
"","가동률지수(계절조정)","99.6"
"2022.11","생산능력지수","101.3"
"","가동률지수(원지수)","103.8"
"","가동률지수(계절조정)","99.9"
"2022.12","생산능력지수","100.8"
"","가동률지수(원지수)","103.7"
"","가동률지수(계절조정)","96.4"
"2023.01","생산능력지수","101.1"
"","가동률지수(원지수)","92.5"
"","가동률지수(계절조정)","100.5"
"2023.02","생산능력지수","101"
