region,month,indicator,value
경북,2020-12-01,자금사정현황,83.0
전남,2020-12-01,자금사정현황,90.0
전북,2020-12-01,자금사정현황,88.0
충남,2020-12-01,자금사정현황,96.0
충북,2020-12-01,자금사정현황,86.0
전국,2020-12-01,자금사정전망,86.0
서울,2020-12-01,자금사정전망,80.0
부산,2020-12-01,자금사정전망,85.0
대구,2020-12-01,자금사정전망,71.0
인천,2020-12-01,자금사정전망,82.0
광주,2020-12-01,자금사정전망,87.0
대전,2020-12-01,자금사정전망,85.0
울산,2020-12-01,자금사정전망,83.0
강원,2020-12-01,자금사정전망,100.0
경기,2020-12-01,자금사정전망,84.0
경남,2020-12-01,자금사정전망,83.0
경북,2020-12-01,자금사정전망,90.0
전남,2020-12-01,자금사정전망,84.0
전북,2020-12-01,자금사정전망,91.0
충남,2020-12-01,자금사정전망,92.0
충북,2020-12-01,자금사정전망,88.0
전국,2020-12-01,부가가치비중 (%),100.0
서울,2020-12-01,부가가치비중 (%),2.0
부산,2020-12-01,부가가치비중 (%),2.0
대구,2020-12-01,부가가치비중 (%),2.0
인천,2020-12-01,부가가치비중 (%),3.0
광주,2020-12-01,부가가치비중 (%),2.0
대전,2020-12-01,부가가치비중 (%),1.0
울산,2020-12-01,부가가치비중 (%),9.0
강원,2020-12-01,부가가치비중 (%),1.0
경기,2020-12-01,부가가치비중 (%),37.0
경남,2020-12-01,부가가치비중 (%),7.0
경북,2020-12-01,부가가치비중 (%),8.0
전남,2020-12-01,부가가치비중 (%),7.0
전북,2020-12-01,부가가치비중 (%),2.0
충남,2020-12-01,부가가치비중 (%),13.0
충북,2020-12-01,부가가치비중 (%),5.0
전국,2021-03-01,시황현황,85.0
서울,2021-03-01,시황현황,84.0
부산,2021-03-01,시황현황,82.0
대구,2021-03-01,시황현황,82.0
인천,2021-03-01,시황현황,94.0
광주,2021-03-01,시황현황,93.0
대전,2021-03-01,시황현황,81.0
울산,2021-03-01,시황현황,95.0
강원,2021-03-01,시황현황,76.0
경기,2021-03-01,시황현황,88.0
경남,2021-03-01,시황현황,77.0
경북,2021-03-01,시황현황,92.0
전남,2021-03-01,시황현황,102.0
전북,2021-03-01,시황현황,94.0
충남,2021-03-01,시황현황,92.0
충북,2021-03-01,시황현황,89.0
전국,2021-03-01,시황전망,90.0
서울,2021-03-01,시황전망,86.0
부산,2021-03-01,시황전망,88.0
대구,2021-03-01,시황전망,75.0
인천,2021-03-01,시황전망,93.0
광주,2021-03-01,시황전망,90.0
대전,2021-03-01,시황전망,93.0
울산,2021-03-01,시황전망,104.0
강원,2021-03-01,시황전망,91.0
경기,2021-03-01,시황전망,87.0
경남,2021-03-01,시황전망,85.0
경북,2021-03-01,시황전망,88.0
전남,2021-03-01,시황전망,87.0
전북,2021-03-01,시황전망,96.0
충남,2021-03-01,시황전망,96.0
충북,2021-03-01,시황전망,85.0
전국,2021-03-01,매출액현황,83.0
서울,2021-03-01,매출액현황,79.0
부산,2021-03-01,매출액현황,76.0
대구,2021-03-01,매출액현황,81.0
인천,2021-03-01,매출액현황,95.0
광주,2021-03-01,매출액현황,91.0
대전,2021-03-01,매출액현황,81.0
울산,2021-03-01,매출액현황,93.0
강원,2021-03-01,매출액현황,75.0
경기,2021-03-01,매출액현황,87.0
경남,2021-03-01,매출액현황,75.0
경북,2021-03-01,매출액현황,91.0
전남,2021-03-01,매출액현황,95.0
전북,2021-03-01,매출액현황,97.0
